alert_set,name,smarts_str
Dundee,> 2 ester groups,"C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]"
Dundee,2-halo pyridine,"n1c([F,Cl,Br,I])cccc1"
Dundee,acid halide,"C(=O)[Cl,Br,I,F]"
Dundee,acyclic C=C-O,C=[C!r]O
Dundee,acyl cyanide,N#CC(=O)
Dundee,acyl hydrazine,C(=O)N[NH2]
Dundee,aldehyde,[CH1](=O)
Dundee,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2]
Dundee,alkyl halide,"[CX4][Cl,Br,I]"
Dundee,amidotetrazole,c1nnnn1C=O
Dundee,aniline,c1cc([NH2])ccc1
Dundee,azepane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1
Dundee,Azido group,N=[N+]=[N-]
Dundee,Azo group,N#N
Dundee,azocane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1
Dundee,benzidine,"[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2"
Dundee,beta-keto/anhydride,"[C,c](=O)[CX4,CR0X3,O][C,c](=O)"
Dundee,biotin analogue,C12C(NC(N1)=O)CSC2
Dundee,Carbocation/anion,"[C+,c+,C-,c-]"
Dundee,catechol,"c1c([OH])c([OH,NH2,NH])ccc1"
Dundee,charged oxygen or sulfur atoms,"[O+,o+,S+,s+]"
Dundee,chinone,"C1(=[O,N])C=CC(=[O,N])C=C1"
Dundee,chinone,"C1(=[O,N])C(=[O,N])C=CC=C1"
Dundee,conjugated nitrile group,C=[C!r]C#N
Dundee,crown ether,"[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]"
Dundee,cumarine,c1ccc2c(c1)ccc(=O)o2
Dundee,cyanamide,N[CH2]C#N
Dundee,cyanate/aminonitrile/thiocyanate,"[N,O,S]C#N"
Dundee,cyanohydrins,N#CC[OH]
Dundee,cycloheptane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2]1
Dundee,cycloheptane,[CR2]1[CR2][CR2]cc[CR2][CR2]1
Dundee,cyclooctane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2][CR2]1
Dundee,cyclooctane,[CR2]1[CR2][CR2]cc[CR2][CR2][CR2]1
Dundee,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])c([N+0X3R0,nX3R0])[cR2][cR2]1"
Dundee,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2]c([N+0X3R0,nX3R0])[cR2]1"
Dundee,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2][cR2]c1([N+0X3R0,nX3R0])"
Dundee,diazo group,[N!R]=[N!R]
Dundee,diketo group,"[C,c](=O)[C,c](=O)"
Dundee,disulphide,SS
Dundee,enamine,[CX2R0][NX3R0]
Dundee,ester of HOBT,C(=O)Onnn
Dundee,four member lactones,C1(=O)OCC1
Dundee,halogenated ring,"c1cc([Cl,Br,I,F])cc([Cl,Br,I,F])c1[Cl,Br,I,F]"
Dundee,halogenated ring,"c1ccc([Cl,Br,I,F])c([Cl,Br,I,F])c1[Cl,Br,I,F]"
Dundee,heavy metal,"[Hg,Fe,As,Sb,Zn,Se,se,Te,B,Si]"
Dundee,het-C-het not in ring,"[NX3R0,NX4R0,OR0,SX2R0][CX4][NX3R0,NX4R0,OR0,SX2R0]"
Dundee,hydantoin,C1NC(=O)NC(=O)1
Dundee,hydrazine,N[NH2]
Dundee,hydroquinone,"[OH]c1ccc([OH,NH2,NH])cc1"
Dundee,hydroxamic acid,C(=O)N[OH]
Dundee,imine,C=[N!R]
Dundee,imine,"N=[CR0][N,n,O,S]"
Dundee,iodine,I
Dundee,isocyanate,N=C=O
Dundee,isolated alkene,"[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]"
Dundee,ketene,C=C=O
Dundee,"methylidene-1,3-dithiole",S1C=CSC1=S
Dundee,Michael acceptor,"C=!@CC=[O,S]"
Dundee,Michael acceptor,"[$([CH]),$(CC)]#CC(=O)[C,c]"
Dundee,Michael acceptor,"[$([CH]),$(CC)]#CS(=O)(=O)[C,c]"
Dundee,Michael acceptor,C=C(C=O)C=O
Dundee,Michael acceptor,"[$([CH]),$(CC)]#CC(=O)O[C,c]"
Dundee,N oxide,"[NX2,nX3][OX1]"
Dundee,"N-acyl-2-amino-5-mercapto-1,3,4-thiadiazole",s1c(S)nnc1NC=O
Dundee,N-C-halo,"NC[F,Cl,Br,I]"
Dundee,N-halo,"[NX3,NX4][F,Cl,Br,I]"
Dundee,N-hydroxyl pyridine,n[OH]
Dundee,nitro group,[N+](=O)[O-]
Dundee,N-nitroso,[#7]-N=O
Dundee,oxime,"[C,c]=N[OH]"
Dundee,oxime,"[C,c]=NOC=O"
Dundee,Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]"
Dundee,perfluorinated chain,[CX4](F)(F)[CX4](F)F
Dundee,peroxide,OO
Dundee,phenol ester,c1ccccc1OC(=O)[#6]
Dundee,phenyl carbonate,c1ccccc1OC(=O)O
Dundee,phosphor,P
Dundee,phthalimide,"[cR,CR]~C(=O)NC(=O)~[cR,CR]"
Dundee,Polycyclic aromatic hydrocarbon,a1aa2a3a(a1)A=AA=A3=AA=A2
Dundee,Polycyclic aromatic hydrocarbon,a21aa3a(aa1aaaa2)aaaa3
Dundee,Polycyclic aromatic hydrocarbon,a31a(a2a(aa1)aaaa2)aaaa3
Dundee,polyene,[CR0]=[CR0][CR0]=[CR0]
Dundee,quaternary nitrogen,"[s,S,c,C,n,N,o,O]~[nX3+,NX3+](~[s,S,c,C,n,N])~[s,S,c,C,n,N]"
Dundee,quaternary nitrogen,"[s,S,c,C,n,N,o,O]~[n+,N+](~[s,S,c,C,n,N,o,O])(~[s,S,c,C,n,N,o,O])~[s,S,c,C,n,N,o,O]"
Dundee,quaternary nitrogen,[*]=[N+]=[*]
Dundee,saponine derivative,O1CCCCC1OC2CCC3CCCCC3C2
Dundee,silicon halogen,"[Si][F,Cl,Br,I]"
Dundee,stilbene,c1ccccc1C=Cc2ccccc2
Dundee,sulfinic acid,"[SX3](=O)[O-,OH]"
Dundee,Sulfonic acid,"[C,c]S(=O)(=O)O[C,c]"
Dundee,Sulfonic acid,"S(=O)(=O)[O-,OH]"
Dundee,sulfonyl cyanide,S(=O)(=O)C#N
Dundee,sulfur oxygen single bond,[SX2]O
Dundee,sulphate,OS(=O)(=O)[O-]
Dundee,Sulphur-nitrogen single bond,[SX2H0][N]
Dundee,Thiobenzothiazole,c12ccccc1(SC(S)=N2)
Dundee,thiobenzothiazole,c12ccccc1(SC(=S)N2)
Dundee,Thiocarbonyl group,"[C,c]=S"
Dundee,thioester,SC=O
Dundee,thiol,[S-]
Dundee,thiol,[SH]
Dundee,Three-membered heterocycle,"*1[O,S,N]*1"
Dundee,triflate,OS(=O)(=O)C(F)(F)F
Dundee,triphenyl methylsilyl,"[SiR0,CR0](c1ccccc1)(c2ccccc2)(c3ccccc3)"
Dundee,triple bond,C#C
BMS,2halo_pyrazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7][#6][#6]1"
BMS,2halo_pyrazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6;!$(c-N)][#7][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)]1"
BMS,2halo_pyridazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#6][#7]1"
BMS,2halo_pyridazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7]1"
BMS,2halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)][#6][#6;!$(c-N)]1"
BMS,2halo_pyridine_5EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6][#6;!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c=O);!$(c-N)]1"
BMS,2halo_pyrimidine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#7][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1"
BMS,3halo_pyridazine_2EWG,"[#7;R1]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6][#7]1"
BMS,3halo_pyridazine_4EWG,"[#7;R1]1[#6][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#7]1"
BMS,4_pyridone_3_5_EWG,"[#7,#8,#16]1~[#6;H]~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6](=O)~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6;H]1"
BMS,4halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O);!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6;!$(c=O);!$(c-N)]1"
BMS,4halo_pyrimidine_2_6EWG,"[#7]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7;R1][#6]([F,Cl,Br,I])[#6][#6]1([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])"
BMS,4halo_pyrimidine_5EWG,"[#7]1[#6][#7;R1][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1"
BMS,CH2_S#O_3_ring,"[CH2]1[O,S]C1"
BMS,HOBT_ester,"O=C(-[!N])O[$(nnn),$([#7]-[#7]=[#7])]"
BMS,NO_phosphonate,P(=O)ON
BMS,acrylate,[CH2]=[C;!$(C-N);!$(C-O)]C(=O)
BMS,activated_4mem_ring,"[#6]1~[$(C(=O)),$(S(=O))]~[O,S,N]~[$(C(=O)),$(S(=O))]1"
BMS,activated_S#O_3_ring,"C1~[O,S]~[C,N,O,S]1[a,N,O,S]"
BMS,activated_acetylene,"[$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))]C#[C;!$(C-N);!$(C-n)]"
BMS,activated_diazo,"[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])=[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])"
BMS,activated_vinyl_ester,"O=COC=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]"
BMS,activated_vinyl_sulfonate,"O(-S(=O)(=O))C=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]"
BMS,acyclic_imide,"[C,c][C;!R](=O)[N;!R][C;!R](=O)[C,c]"
BMS,acyl_123_triazole,[#7;R1]1~[#7;R1]~[#7;R1](-C(=O))~[#6]~[#6]1
BMS,acyl_134_triazole,[#7]1~[#7]~[#6]~[#7](-C(=O)[!N])~[#6]1
BMS,acyl_activated_NO,"O=C(-[!N])O[$([#7;+]),$(N(C=[O,S,N])(C=[O,S,N]))]"
BMS,acyl_cyanide,C(=O)-C#N
BMS,acyl_imidazole,"[C;!$(C-N)](=O)[#7]1[#6;H1,$([#6]([*;!R]))][#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1"
BMS,acyl_pyrazole,"[C;!$(C-N)](=O)[#7]1[#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1"
BMS,aldehyde,"[C,c][C;H1](=O)"
BMS,alpha_dicarbonyl,C(=O)!@C(=O)
BMS,alpha_halo_EWG,"[$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-])]-[CH,CH2]-[Cl,Br,I,$(O(S(=O)(=O)))]"
BMS,alpha_halo_amine,"[F,Cl,Br,I,$(O(S(=O)(=O)))]-[CH,CH2;!$(C(F)F)]-[N,n]"
BMS,alpha_halo_carbonyl,"C(=O)([CH,CH2][Cl,Br,I,$(O(S(=O)(=O)))])"
BMS,alpha_halo_heteroatom,"[N,n,O,S;!$(S(=O)(=O))]-[CH,CH2;!$(C(F)F)][F,Cl,Br,I,$(O(S(=O)(=O)))]"
BMS,alpha_halo_heteroatom_tert,"[N,n,O,S;!$(S(=O)(=O))]-C([Cl,Br,I,$(O(S(=O)(=O)))])(C)(C)"
BMS,anhydride,"[$(C(=O)),$(C(=S))]-[O,S]-[$(C(=O)),$(C(=S)),$(C(=[N;!R])),$(C(=N(-[C;X4])))]"
BMS,aryl_phosphonate,P(=O)-[O;!R]-a
BMS,aryl_thiocarbonyl,a-[S;X2;!R]-[C;!R](=O)
BMS,azide,"[$(N#[N+]-[N-]),$([N-]=[N+]=N)]"
BMS,aziridine_diazirine,"[C,N]1~[C,N]~N~1"
BMS,azo_amino,[N]=[N;!R]-[N]
BMS,azo_aryl,c[N;!R;!+]=[N;!R;!+]-c
BMS,azo_filter1,[N;!R]=[N;!R]-[N]=[*]
BMS,azo_filter2,[N;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!r3;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!$(N-S(=O)(=O));!$(N-C=O)]
BMS,azo_filter3,[N;!R]-[N;!R]-[N;!R]
BMS,azo_filter4,a-N=N-[N;H2]
BMS,bad_boron,"[B-,BH2,BH3,$(B(F)(F))]"
BMS,bad_cations,"[C+,F+,Cl+,Br+,I+,Se+]"
BMS,benzidine_like,c([N;!+])1ccc(c2ccc([N;!+])cc2)cc1
BMS,beta_lactone,"[#6,#15,#16]1(=O)~[#6]~[#6]~[#8,#16]1"
BMS,betalactam,C1(=O)~[#6]~[#6]N1
BMS,betalactam_EWG,"C1(=O)~[#6]~[#6]N1([$(S(=O)(=O)[C,c,O&D2]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)[C,c,O&D2])])"
BMS,bis_activated_aryl_ester,"O=[C,S]Oc1aaa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1"
BMS,bis_keto_olefin,"CC(=O)[$([C&H1]),$(C-F),$(C-Cl),$(C-Br),$(C-I)]=[$([C&H1]),$(C-F),$(C-Cl),$(C-Br),$(C-I)]C(=O)C"
BMS,boron_warhead,"[C,c]~[#5]"
BMS,branched_polycyclic_aromatic,a1(a2aa(a3aaaaa3)aa(a4aaaaa4)a2)aaaaa1
BMS,carbodiimide_iso#thio#cyanate,"N=C=[N,O,S]"
BMS,carbonyl_halide,"O=C[F,Cl,Br,I]"
BMS,contains_metal,"[$([Ru]),$([Rh]),$([Se]),$([Pd]),$([Sc]),$([Bi]),$([Sb]),$([Ag]),$([Ti]),$([Al]),$([Cd]),$([V]),$([In]),$([Cr]),$([Sn]),$([Mn]),$([La]),$([Fe]),$([Er]),$([Tm]),$([Yb]),$([Lu]),$([Hf]),$([Ta]),$([W]),$([Re]),$([Co]),$([Os]),$([Ni]),$([Ir]),$([Cu]),$([Zn]),$([Ga]),$([Ge]),$([As]),$([Y]),$([Zr]),$([Nb]),$([Ce]),$([Pr]),$([Nd]),$([Sm]),$([Eu]),$([Gd]),$([Tb]),$([Dy]),$([Ho]),$([Pt]),$([Au]),$([Hg]),$([Tl]),$([Pb]),$([Ac]),$([Th]),$([Pa]),$([Mo]),$([U]),$([Tc]),$([Te]),$([Po]),$([At])]"
BMS,crown_ether,"[$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18]),$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18]),$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18])]"
BMS,cyano_phosphonate,"P(O[A,a])(O[A,a])(=O)C#N"
BMS,cyanohydrin,"[C;X4](-[OH,NH1,NH2,SH])(-C#N)"
BMS,diamino_sulfide,"[N,n]~[S;!R;D2]~[N,n]"
BMS,diazo_carbonyl,"[$(N=N=C~C=O),$(N#N-C~C=O)]"
BMS,diazonium,a[N+]#N
BMS,dicarbonyl_sulfonamide,"[$(N(-C(=O))(-C(=O))(-S(=O))),$(n([#6](=O))([#6](=O))([#16](=O)))]"
BMS,disulfide_acyclic,[S;!R;X2]-[S;!R;X2]
BMS,disulfonyliminoquinone,S(=O)(=O)N=C1C=CC(=NS(=O)(=O))C=C1
BMS,double_trouble_warhead,NC(C[S;D1])C([N;H1]([O;D1]))=O
BMS,flavanoid,O=C2CC(a3aaaaa3)Oa1aaaaa12
BMS,four_nitriles,C#N.C#N.C#N.C#N
BMS,gte_10_carbon_sb_chain,[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]
BMS,gte_2_N_quats,"[N,n;H0;+;!$(N~O);!$(n~O)].[N,n;H0;+;!$(N~O);!$(n~O)]"
BMS,gte_2_free_phos,P([O;D1])=O.P([O;D1])=O
BMS,gte_2_sulfonic_acid,"[C,c]S(=O)(=O)[O;D1].[C,c]S(=O)(=O)[O;D1]"
BMS,gte_3_COOH,C(=O)[O;D1].C(=O)[O;D1].C(=O)[O;D1]
BMS,gte_3_iodine,[#53].[#53].[#53]
BMS,gte_4_basic_N,"[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(Nc)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(Nc)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(Nc)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(N-c)]"
BMS,gte_4_nitro,"[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)]"
BMS,gte_5_phenolic_OH,a[O;D1].a[O;D1].a[O;D1].a[O;D1].a[O;D1]
BMS,gte_7_aliphatic_OH,C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1]
BMS,gte_7_total_hal,"[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I]"
BMS,gte_8_CF2_or_CH2,"[CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0]"
BMS,halo_5heterocycle_bis_EWG,"[#7,#8,#16]1[#6]([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])[#6]([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])[#7][#6]1([Cl,Br,I])"
BMS,halo_acrylate,"[$([C;H2]),$([C&H1;$(C-F)]),$([C&H1;$(C-Cl)]),$([C&H1;$(C-Br)]),$([C&H1;$(CI)]),$(C(F)F),$(C(Cl)Cl),$(C(Br)Br),$(C(I)I),$(C(F)Cl),$(C(F)Br),$(C(F)I),$(C(Cl)Br),$(C(Br)I)](=[$([C&H1;$(C(-C(=O)))]),$(C(F)(C(=O))),$(C(Cl)(C(=O))),$(C(Br)(C(=O))),$(C(I)(C(=O))),$(C(C)(C(=O))),$(C(c)(C(=O)))])"
BMS,halo_imino,"C(=[#7])([Cl,Br,I,$(O(S(=O)(=O)))])"
